variance,mean,class
0.032698292,0.017615575,1
0.028615365,0.017601922,1
0.027730773,0.016018119,1
0.022435663,0.015541484,1
0.025712155,0.017502038,1
0.030485278,0.018119857,1
0.024656705,0.016237935,1
0.029601628,0.017248835,1
0.023325775,0.015209813,1
0.032036621,0.017092293,1
0.031073242,0.018202942,1
0.023116897,0.014789495,1
0.027387035,0.016282445,1
0.054873647,0.020238567,1
0.024639648,0.014596744,1
0.023285752,0.015684206,1
0.02322568,0.015485402,1
0.018915821,0.01774678,1
0.176291559,0.0296328,1
0.035143786,0.024975771,1
0.022870222,0.015857244,1
0.028349349,0.015543202,1
0.023002086,0.015920036,1
0.023600325,0.016395172,1
0.034574952,0.01740948,1
0.033667583,0.019132402,1
0.033116549,0.017423559,1
0.017884442,0.013806792,1
0.030535505,0.01607937,1
0.022316368,0.01581337,1
0.022101754,0.014504611,1
0.024936414,0.015401715,1
0.019423776,0.014605587,1
0.023511707,0.013983563,1
0.032232944,0.015792351,1
0.033126908,0.01756489,1
0.024149801,0.014630303,1
0.020287959,0.016977604,1
0.028033663,0.01715475,1
0.033096985,0.017677708,1
0.028146638,0.01689412,1
0.031658865,0.018425208,1
0.025076318,0.016119631,1
0.022111322,0.015929919,1
0.028959382,0.01699657,1
0.023172154,0.016487373,1
0.024558279,0.016240153,1
0.032565642,0.01854228,1
0.023173025,0.016718492,1
0.027316686,0.016276607,1
0.023816829,0.015031252,1
0.030265575,0.0169193,1
0.04063059,0.019019892,1
0.023838468,0.016309144,1
0.032885347,0.017205916,1
0.032438015,0.017303243,1
0.018159311,0.015410299,1
0.02990547,0.016965095,1
0.023462157,0.015152679,1
0.022269814,0.014136403,1
0.02378671,0.016239248,1
0.025759388,0.01767433,1
0.027152902,0.018087856,1
0.025992903,0.01664224,1
0.024162858,0.01666187,1
0.032030899,0.017983465,1
0.030131482,0.016259575,1
0.032941746,0.0177857,1
0.033008058,0.01744436,1
0.018101136,0.014378483,1
0.025711708,0.015427802,1
0.024683425,0.015734626,1
0.027718766,0.017452165,1
0.036956361,0.02068828,1
0.025594015,0.015543518,1
0.026402431,0.020015161,1
0.039294516,0.019252503,1
0.025088893,0.018365998,1
0.041731855,0.021430248,1
0.021224773,0.015650153,1
0.028522066,0.01586287,1
0.025151926,0.020287983,1
0.046645671,0.01939797,1
0.029735961,0.017379662,1
0.022428959,0.015055318,1
0.032523254,0.016394902,1
0.021836115,0.014503705,1
0.034704629,0.01740706,1
0.030955473,0.016150106,1
0.062136107,0.024328548,1
0.032369562,0.019380953,1
0.042304948,0.018587645,1
0.04537831,0.023427602,1
0.033127443,0.020954879,1
0.028704996,0.017600434,1
0.024539599,0.014757346,1
0.028038778,0.017317338,1
0.023358891,0.017427279,1
0.021798007,0.016101189,1
0.041942856,0.019081648,1
0.027404934,0.018190417,1
0.036733881,0.019843386,1
0.029350903,0.018634826,1
0.017237604,0.014272392,1
0.025012999,0.016906956,1
0.019526211,0.013822058,1
0.019966295,0.01345837,1
0.031468482,0.017757477,1
0.020054321,0.01509611,1
0.018767719,0.014641971,1
0.023989841,0.01840352,1
0.037962042,0.017427515,1
0.026693215,0.015611353,1
0.033506848,0.021156441,1
0.044822851,0.020856755,1
0.022440678,0.017351164,1
0.036540129,0.01804277,1
0.0252408,0.016451683,1
0.028822476,0.017352547,1
0.028545313,0.015281017,1
0.027613288,0.015441581,1
0.031192097,0.018113818,1
0.031606221,0.015660072,1
0.044603191,0.016546031,1
0.029340449,0.020562408,1
0.034252301,0.017672325,1
0.03224843,0.018187655,1
0.024703933,0.017136237,1
0.023860726,0.015145276,1
0.019390266,0.014317212,1
0.033369468,0.01774881,1
0.026791266,0.01729032,1
0.033815119,0.01783519,1
0.026474708,0.017662687,1
0.022923556,0.016681591,1
0.02469777,0.018561324,1
0.108749952,0.021139862,1
0.033319428,0.018044952,1
0.018762758,0.013009144,1
0.028360506,0.0176233,1
0.029107237,0.01824669,1
0.026867455,0.01653372,1
0.035112976,0.017726477,1
0.026161901,0.01687005,1
0.027659467,0.015534774,1
0.019258642,0.01228152,1
0.031172385,0.01893426,1
0.024714598,0.015348717,1
0.023966091,0.016109193,1
0.02702798,0.01715599,1
0.027995084,0.016854623,1
0.019858736,0.01870562,1
0.029179675,0.017880144,1
0.022494008,0.0161818,1
0.02246673,0.016421482,1
0.029241035,0.01894668,1
0.022589343,0.017382868,1
0.020354903,0.016182292,1
0.037484957,0.018995967,1
0.027841279,0.017317144,1
0.022482352,0.015770217,1
0.024953229,0.015581083,1
0.032409832,0.020243939,1
0.029860606,0.018484874,1
0.031468376,0.019886687,1
0.028443479,0.018877098,1
0.039993025,0.02271981,1
0.025433645,0.017680107,1
0.021245179,0.015015874,1
0.018261191,0.014854646,1
0.022218637,0.015578684,1
0.02193384,0.015529708,1
0.03491733,0.018593213,1
0.020734068,0.014541331,1
0.02566369,0.016789354,1
0.026767306,0.01781838,1
0.022520032,0.017517928,1
0.028838645,0.01915959,1
0.031259346,0.019875923,1
0.033158434,0.017517654,1
0.029957603,0.017221859,1
0.033076874,0.018638905,1
0.03033689,0.018177088,1
0.030875781,0.017996967,1
0.024526479,0.0182616,1
0.022774291,0.015687872,1
0.02497041,0.01616794,1
0.238568905,0.05419221,1
0.039455576,0.020693121,1
0.033015188,0.018962089,1
0.037253728,0.019436223,1
0.023505347,0.01827686,1
0.03047238,0.018804923,1
0.026343029,0.016132154,1
0.025113927,0.020175183,1
0.034098255,0.017953455,1
0.028912406,0.0184184,1
0.025799855,0.015436023,1
0.025605232,0.015178514,1
0.024623324,0.018643504,1
0.022992001,0.0164921,1
0.030116165,0.018053947,1
0.024484792,0.019311506,1
0.023740013,0.014529943,1
0.026610728,0.016706314,1
0.019188198,0.015043216,1
0.027966847,0.016997935,1
0.029670257,0.017406117,1
0.032143737,0.01933874,1
0.036888721,0.017631793,1
0.036311328,0.017260063,1
0.034556848,0.016733868,1
0.020931629,0.016679341,1
0.019950708,0.013951642,1
0.036624928,0.01623861,1
0.027314951,0.015596383,1
0.038531573,0.022028603,1
0.025509004,0.016878227,1
0.030609758,0.018287763,1
0.019527269,0.015532111,1
0.023458815,0.015385395,1
0.030188507,0.017464407,1
0.021430772,0.014149324,1
0.031853102,0.019742096,1
0.02567775,0.017878307,1
0.021078001,0.01462389,1
0.027696748,0.01876648,1
0.025619907,0.016120974,1
0.027144055,0.016344508,1
0.020262002,0.015155169,1
0.032921324,0.017939543,1
0.024970081,0.017240645,1
0.017040879,0.014833844,1
0.032698292,0.017615575,1
0.028615365,0.017601922,1
0.032249165,0.018533107,1
0.027730773,0.016018119,1
0.022435663,0.015541484,1
0.025712155,0.017502038,1
